"","X","pitch_uid","pitch_no","date","pa_of_inning","pitch_of_pa","pitcher_name","pitcher_id","pitcher_throws","pitcher_team_id","pitcher_team_name","batter_name","batter_id","batter_side","batter_team_id","batter_team_name","inning","top_bottom","outs","balls","strikes","pitch_type","pitch_type_abbr","pitch_call","k_or_bb","hit_type","play_result","outs_on_play","runs_scored","rel_speed","spin_rate","spin_axis","rel_height","rel_side","extension","induced_vert_break","horz_break","plate_loc_height","plate_loc_side","vert_appr_angle","horz_appr_angle","exit_speed","launch_angle","bat_speed","swing_length","distance","catcher_name","catcher_id","home_team_id","home_team_name","home_team_conf","away_team_id","away_team_name","away_team_conf","game_id","game_type","season","pitch_group","pitch_group_abbr","count_type","is_zone","is_strike","is_swing","zone_label","zone_num_14","pitch_call_prev","pitch_type_prev","pitch_group_prev","pa_id","pa_result","woba_value"
"48",48,"2024-745444-74",74,"2024-03-20",4,5,"Darvish, Yu",506433,"Right","SD","SD","Freeman, Freddie",518692,"Left","LAD","LAD",3,"Top",2,2,2,"Sinker","SI","FoulBall",NA,NA,NA,NA,0,94.6,2263,258,5.44,2.18,6.3,4.92,18.48,2.14,0.12,-5.93066155708205,-0.559039571591464,84.5,14,NA,NA,148,669134,669134,"SD","SD","Non-D1","LAD","LAD","Non-D1",745444,"R",2024,"Fastball","FB","Two Strikes",TRUE,TRUE,TRUE,"Heart",8,"BallCalled","Curveball","Breaking Ball","745444_3_4_506433_518692",NA,NA
"49",49,"2024-745444-75",75,"2024-03-20",4,6,"Darvish, Yu",506433,"Right","SD","SD","Freeman, Freddie",518692,"Left","LAD","LAD",3,"Top",2,2,2,"Splitter","SP","BallCalled",NA,NA,NA,NA,0,88.5,1195,263,5.52,2.16,6.2,2.28,9.24,3.91,1.6,-4.96122274780772,0.217768451229797,NA,NA,NA,NA,NA,669134,669134,"SD","SD","Non-D1","LAD","LAD","Non-D1",745444,"R",2024,"Offspeed","OFF","Two Strikes",FALSE,FALSE,FALSE,"Chase",12,"FoulBall","Sinker","Fastball","745444_3_4_506433_518692",NA,NA
"50",50,"2024-745444-76",76,"2024-03-20",4,7,"Darvish, Yu",506433,"Right","SD","SD","Freeman, Freddie",518692,"Left","LAD","LAD",3,"Top",2,3,2,"Curveball","CB","BallCalled","Walk",NA,NA,NA,0,72.2,2729,43,5.57,1.78,5.6,-16.68,-17.52,3.64,0.52,-8.49960350100121,-2.89421005517132,NA,NA,NA,NA,NA,669134,669134,"SD","SD","Non-D1","LAD","LAD","Non-D1",745444,"R",2024,"Breaking Ball","BRK","Two Strikes",FALSE,FALSE,FALSE,"Edge",12,"BallCalled","Splitter","Offspeed","745444_3_4_506433_518692","Walk",0.743133820449728
"51",51,"2024-745444-77",77,"2024-03-20",5,1,"Darvish, Yu",506433,"Right","SD","SD","Smith, Will",669257,"Right","LAD","LAD",3,"Top",2,0,0,"Cutter","CT","BallCalled",NA,NA,NA,NA,0,89.5,2664,151,5.63,2.09,5.9,11.88,-5.88,1.88,-1.11,-6.27855492609285,-3.94886491030213,NA,NA,NA,NA,NA,669134,669134,"SD","SD","Non-D1","LAD","LAD","Non-D1",745444,"R",2024,"Breaking Ball","BRK","F-Pitch",FALSE,FALSE,FALSE,"Chase",13,NA,NA,NA,"745444_3_5_506433_669257",NA,NA
"52",52,"2024-745444-78",78,"2024-03-20",5,2,"Darvish, Yu",506433,"Right","SD","SD","Smith, Will",669257,"Right","LAD","LAD",3,"Top",2,1,0,"Slider","SL","StrikeCalled",NA,NA,NA,NA,0,85.9,2911,71,5.68,1.94,5.6,-2.04,-8.76,2.53,-0.35,-7.20576799670891,-3.22595331167269,NA,NA,NA,NA,NA,669134,669134,"SD","SD","Non-D1","LAD","LAD","Non-D1",745444,"R",2024,"Breaking Ball","BRK","Early",TRUE,TRUE,FALSE,"Heart",4,"BallCalled","Cutter","Breaking Ball","745444_3_5_506433_669257",NA,NA
"53",53,"2024-745444-79",79,"2024-03-20",5,3,"Darvish, Yu",506433,"Right","SD","SD","Smith, Will",669257,"Right","LAD","LAD",3,"Top",2,1,1,"Fastball","FB","BallCalled",NA,NA,NA,NA,0,94.2,2492,194,5.55,1.92,6.5,20.4,4.68,1.74,-1.38,-5.15132775621616,-3.13387000585425,NA,NA,NA,NA,NA,669134,669134,"SD","SD","Non-D1","LAD","LAD","Non-D1",745444,"R",2024,"Fastball","FB","Early",FALSE,FALSE,FALSE,"Chase",13,"StrikeCalled","Slider","Breaking Ball","745444_3_5_506433_669257",NA,NA
"54",54,"2024-745444-80",80,"2024-03-20",5,4,"Darvish, Yu",506433,"Right","SD","SD","Smith, Will",669257,"Right","LAD","LAD",3,"Top",2,2,1,"Slider","SL","FoulBall",NA,NA,NA,NA,0,81.1,2867,82,5.57,2.07,5.4,-1.56,-21.24,1.55,-0.15,-8.53335119590543,-4.25169580576288,63.4,37,NA,NA,NA,669134,669134,"SD","SD","Non-D1","LAD","LAD","Non-D1",745444,"R",2024,"Breaking Ball","BRK","B-Ahead",TRUE,TRUE,TRUE,"Edge",8,"BallCalled","Fastball","Fastball","745444_3_5_506433_669257",NA,NA
"55",55,"2024-745444-81",81,"2024-03-20",5,5,"Darvish, Yu",506433,"Right","SD","SD","Smith, Will",669257,"Right","LAD","LAD",3,"Top",2,2,2,"Slider","SL","FoulBall",NA,NA,NA,NA,0,83.4,2814,80,5.58,2.16,5.4,-1.56,-17.4,1.87,-0.32,-7.98946179103183,-4.1900700899094,65.5,43,NA,NA,NA,669134,669134,"SD","SD","Non-D1","LAD","LAD","Non-D1",745444,"R",2024,"Breaking Ball","BRK","Two Strikes",TRUE,TRUE,TRUE,"Heart",7,"FoulBall","Slider","Breaking Ball","745444_3_5_506433_669257",NA,NA
"56",56,"2024-745444-82",82,"2024-03-20",5,6,"Darvish, Yu",506433,"Right","SD","SD","Smith, Will",669257,"Right","LAD","LAD",3,"Top",2,2,2,"Sinker","SI","BallCalled",NA,NA,NA,NA,0,93.5,2398,244,5.53,2.29,5.9,10.68,19.32,4.45,0.43,-3.19552369605213,-0.269094617171817,NA,NA,NA,NA,NA,669134,669134,"SD","SD","Non-D1","LAD","LAD","Non-D1",745444,"R",2024,"Fastball","FB","Two Strikes",FALSE,FALSE,FALSE,"Waste",12,"FoulBall","Slider","Breaking Ball","745444_3_5_506433_669257",NA,NA
"57",57,"2024-745444-83",83,"2024-03-20",5,7,"Darvish, Yu",506433,"Right","SD","SD","Smith, Will",669257,"Right","LAD","LAD",3,"Top",2,3,2,"Slider","SL","BallCalled","Walk",NA,NA,NA,0,83,2876,75,5.59,2.08,5.5,-3.12,-16.32,0.52,-0.86,-9.59464670007866,-4.58987018840123,NA,NA,NA,NA,NA,669134,669134,"SD","SD","Non-D1","LAD","LAD","Non-D1",745444,"R",2024,"Breaking Ball","BRK","Two Strikes",FALSE,FALSE,FALSE,"Waste",13,"BallCalled","Sinker","Fastball","745444_3_5_506433_669257","Walk",0.743133820449728
"58",58,"2024-745444-84",84,"2024-03-20",6,1,"Darvish, Yu",506433,"Right","SD","SD","Muncy, Max",571970,"Left","LAD","LAD",3,"Top",2,0,0,"Curveball","CB","BallCalled",NA,NA,NA,NA,0,73.5,2666,35,5.64,1.83,5.8,-18.84,-14.76,3.12,1.16,-9.18631753953347,-2.01453095441492,NA,NA,NA,NA,NA,669134,669134,"SD","SD","Non-D1","LAD","LAD","Non-D1",745444,"R",2024,"Breaking Ball","BRK","F-Pitch",FALSE,FALSE,FALSE,"Chase",12,NA,NA,NA,"745444_3_6_506433_571970",NA,NA
"59",59,"2024-745444-85",85,"2024-03-20",6,2,"Darvish, Yu",506433,"Right","SD","SD","Muncy, Max",571970,"Left","LAD","LAD",3,"Top",2,1,0,"Curveball","CB","StrikeSwinging",NA,NA,NA,NA,0,74.7,2681,32,5.64,1.75,5.9,-19.44,-13.32,1.71,-0.45,-10.6086355231545,-3.53539799202887,NA,NA,NA,NA,NA,669134,669134,"SD","SD","Non-D1","LAD","LAD","Non-D1",745444,"R",2024,"Breaking Ball","BRK","Early",TRUE,TRUE,TRUE,"Edge",7,"BallCalled","Curveball","Breaking Ball","745444_3_6_506433_571970",NA,NA
"60",60,"2024-745444-86",86,"2024-03-20",6,3,"Darvish, Yu",506433,"Right","SD","SD","Muncy, Max",571970,"Left","LAD","LAD",3,"Top",2,1,1,"Fastball","FB","FoulBall",NA,NA,NA,NA,0,94.6,2395,200,5.64,2.19,5.9,18.84,6.6,2.9,0.05,-4.12433498098419,-1.71744755623432,75.4,27,NA,NA,NA,669134,669134,"SD","SD","Non-D1","LAD","LAD","Non-D1",745444,"R",2024,"Fastball","FB","Early",TRUE,TRUE,TRUE,"Heart",2,"StrikeSwinging","Curveball","Breaking Ball","745444_3_6_506433_571970",NA,NA
"61",61,"2024-745444-87",87,"2024-03-20",6,4,"Darvish, Yu",506433,"Right","SD","SD","Muncy, Max",571970,"Left","LAD","LAD",3,"Top",2,1,2,"Curveball","CB","FoulBall",NA,NA,NA,NA,0,77.8,2713,40,5.64,1.92,5.5,-15.24,-14.04,2.96,0.29,-8.6326577124108,-2.98258785637156,NA,NA,NA,NA,NA,669134,669134,"SD","SD","Non-D1","LAD","LAD","Non-D1",745444,"R",2024,"Breaking Ball","BRK","Two Strikes",TRUE,TRUE,TRUE,"Heart",3,"FoulBall","Fastball","Fastball","745444_3_6_506433_571970",NA,NA
"62",62,"2024-745444-88",88,"2024-03-20",6,5,"Darvish, Yu",506433,"Right","SD","SD","Muncy, Max",571970,"Left","LAD","LAD",3,"Top",2,1,2,"Cutter","CT","BallCalled",NA,NA,NA,NA,0,91.2,2419,161,5.66,2.12,6,12.72,-4.08,2.16,-1.27,-5.78116400165302,-3.99284306446107,NA,NA,NA,NA,NA,669134,669134,"SD","SD","Non-D1","LAD","LAD","Non-D1",745444,"R",2024,"Breaking Ball","BRK","Two Strikes",FALSE,FALSE,FALSE,"Chase",13,"FoulBall","Curveball","Breaking Ball","745444_3_6_506433_571970",NA,NA
"63",63,"2024-745444-89",89,"2024-03-20",6,6,"Darvish, Yu",506433,"Right","SD","SD","Muncy, Max",571970,"Left","LAD","LAD",3,"Top",2,2,2,"Slider","SL","BallCalled",NA,NA,NA,NA,0,79.6,2752,67,5.48,2.2,5.3,-6.24,-18.48,2.31,1.5,-8.19026131838235,-2.37102380315,NA,NA,NA,NA,NA,669134,669134,"SD","SD","Non-D1","LAD","LAD","Non-D1",745444,"R",2024,"Breaking Ball","BRK","Two Strikes",FALSE,FALSE,FALSE,"Chase",14,"BallCalled","Cutter","Breaking Ball","745444_3_6_506433_571970",NA,NA
"64",64,"2024-745444-90",90,"2024-03-20",6,7,"Darvish, Yu",506433,"Right","SD","SD","Muncy, Max",571970,"Left","LAD","LAD",3,"Top",2,3,2,"Sinker","SI","StrikeSwinging","Strikeout",NA,NA,NA,0,93.7,2195,239,5.46,2.28,6.2,10.56,15.48,2.96,0.44,-4.68092397829102,-0.593567405857497,NA,NA,NA,NA,NA,669134,669134,"SD","SD","Non-D1","LAD","LAD","Non-D1",745444,"R",2024,"Fastball","FB","Two Strikes",TRUE,TRUE,TRUE,"Heart",3,"BallCalled","Slider","Breaking Ball","745444_3_6_506433_571970","Strikeout",0.0288651689276732
"65",65,"2024-745444-113",113,"2024-03-20",1,1,"Darvish, Yu",506433,"Right","SD","SD","Hernandez, Teoscar",606192,"Right","LAD","LAD",4,"Top",0,0,0,"Slider","SL","StrikeCalled",NA,NA,NA,NA,0,83.9,2657,109,5.81,1.99,5.4,3.36,-6.36,2.45,-0.53,-7.14399108712164,-3.26293951044091,NA,NA,NA,NA,NA,669134,669134,"SD","SD","Non-D1","LAD","LAD","Non-D1",745444,"R",2024,"Breaking Ball","BRK","F-Pitch",TRUE,TRUE,FALSE,"Edge",4,NA,NA,NA,"745444_4_1_506433_606192",NA,NA
"66",66,"2024-745444-114",114,"2024-03-20",1,2,"Darvish, Yu",506433,"Right","SD","SD","Hernandez, Teoscar",606192,"Right","LAD","LAD",4,"Top",0,0,1,"Sinker","SI","InPlay",NA,"GroundBall","Error",0,0,90.4,2197,243,5.67,2.09,6.1,9.12,15.48,2.79,0.45,-5.51950680775448,-0.377819541602364,64,-48,NA,NA,2,669134,669134,"SD","SD","Non-D1","LAD","LAD","Non-D1",745444,"R",2024,"Fastball","FB","Early",TRUE,TRUE,TRUE,"Heart",6,"StrikeCalled","Slider","Breaking Ball","745444_4_1_506433_606192","In Play, Error",0.871610009479469
"67",67,"2024-745444-115",115,"2024-03-20",2,1,"Darvish, Yu",506433,"Right","SD","SD","Outman, James",681546,"Left","LAD","LAD",4,"Top",0,0,0,"Curveball","CB","FoulBall",NA,NA,NA,NA,0,73.9,2651,40,5.73,1.81,5.7,-15.48,-14.52,1.77,-0.53,-10.3697440918232,-3.79109913180904,NA,NA,NA,NA,NA,669134,669134,"SD","SD","Non-D1","LAD","LAD","Non-D1",745444,"R",2024,"Breaking Ball","BRK","F-Pitch",TRUE,TRUE,TRUE,"Edge",7,NA,NA,NA,"745444_4_2_506433_681546",NA,NA
"68",68,"2024-745444-116",116,"2024-03-20",2,2,"Darvish, Yu",506433,"Right","SD","SD","Outman, James",681546,"Left","LAD","LAD",4,"Top",0,0,1,"Fastball","FB","InPlay",NA,"GroundBall","Out",1,0,93.9,2366,208,5.79,1.93,6.1,15.24,7.56,2.77,0.06,-4.80035950241829,-1.33993902371632,105.6,5,NA,NA,112,669134,669134,"SD","SD","Non-D1","LAD","LAD","Non-D1",745444,"R",2024,"Fastball","FB","Early",TRUE,TRUE,TRUE,"Heart",5,"FoulBall","Curveball","Breaking Ball","745444_4_2_506433_681546","In Play, Out",0.076724249529639
